,Speed.Number,order,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pm2.5,UHC_index_2019,conf_death,conf_cases,index_stringency,gov_responses ,Density(P/Km²),%recovered,%death,Index_containment_health
107,0.5,59,0.141646871,0.088577002,0.082201637,0.071908826,0.005488327,0.004492048,0.502020938,0.004302717,2695.251883,10.9,40,126,591712,56.64963504,59.00729927,7,99.98,0.02,45.16749983
108,1.285714286,47,0.073100683,0.059720653,0.036526261,0.01783051,0.002620741,0.002654902,0.26513681,0.000557303,5680.580768,11.2,69,6,2757,47,51,94,99.78,0.22,37.72042368
109,19.875,45,0.042843502,0.038840236,0.023224133,0.015620186,0.002426992,0.002338754,0.17512721,0.00096145,6710.508029,24.3,77,0,749,78,63,147,100,0,51.06116562
110,5.903846154,9,0.093084574,0.070256342,0.044436702,0.062787701,0.001096442,0.001283639,0.319293592,0.01340257,2981.934151,18.4,61,22,301,49,58,240,92.69,7.31,55.4890335
111,29.77777778,43,0.067084923,0.041491879,0.051773454,0.02676393,0.000303393,0.000219761,0.116332611,0.000260796,13856.98239,20.5,75,158,3760,56.64963504,59.00729927,34,95.8,4.2,42.52235881
112,64,41,0.09965225,0.066401176,0.030956133,0.018730795,0.014225716,0.008908328,0.086928078,0.000266819,21437.3475,7.9,82,0,7012,30,38,32,100,0,42.88327798
113,21.86363636,39,0.119275202,0.078571003,0.03749264,0.028752563,6.01E-05,6.35E-05,0.125220216,0.000362803,61264.39648,90.3,68,10,116781.6579,56.64963504,59.00729927,30,50,50,67.90113161
114,14.68,36,0.05129647,0.037830057,0.048809409,0.025010775,0.000935488,0.000724732,0.123996616,0.000820944,10807.68448,14.3,74,174,346,17,38,667,49.71,50.29,37.46222691
115,6,10,0.050774061,0.034851344,0.042249181,0.022353149,0.006558226,0.00491524,0.1438431,0.000761605,10750.58712,13.7,75,125,5528,56.64963504,59.00729927,71,97.74,2.26,38.27689674
116,2.125,53,0.050639629,0.040373027,0.02390115,0.028616561,0.023710024,0.017541888,0.255309076,0.004093851,762.9143746,40.7,57,69,9317,57,67,53,99.26,0.74,53.76933923
117,0.25,53,0.089398264,0.078453089,0.026780776,0.017020895,0.000523542,0.00088511,0.217025527,0.000231807,9574.3,21.2,68,69,7116,60,60,4,99.03,0.97,42.54658197
118,0.125,53,0.111372085,0.09426505,0.022214261,0.013505304,0.002087318,0.003363619,0.242756966,0.000244863,7185.18,21.2,71,1011,1175,14,24,238,13.96,86.04,24.77012582
119,19.6,41,0.100325723,0.05542067,0.026957357,0.022298666,0.000164377,0.000260769,0.224847498,0.000546508,20803.74257,78.4,74,137,53727,59,55,43,99.75,0.25,52.37409277
120,2.35,41,0.068314441,0.05231812,0.031055087,0.03167669,0.004466815,0.004344143,0.340011699,0.004293865,1367.218948,37.5,45,6215,4494,17,14,242,38.3,61.7,10.42008376
